Date,Price,Log Price
2011-11-05,2.97781759789597,0.473898092122216
2011-11-06,2.96272057685564,0.47169069378445
2011-11-07,3.01775768731736,0.479684364900867
2011-11-08,3.05656711104617,0.485233935750551
2011-11-09,2.9195672238457,0.465318479453422
2011-11-10,2.85670208533022,0.455864951813144
2011-11-11,3.06786173348919,0.486835782351315
2011-11-12,3.02552299590883,0.480800458196676
2011-11-13,2.98637330333139,0.47514409456234
2011-11-14,2.22422446434833,0.347178613264683
2011-11-15,2.3223841157218,0.365934052414574
2011-11-16,2.54678093074226,0.405991589383882
2011-11-17,2.27909583576856,0.357762587607038
2011-11-18,2.10506600321449,0.323265717455512
2011-11-19,2.20345672180012,0.343104524930814
2011-11-20,2.20198950964348,0.342815245646268
2011-11-21,2.27987916540035,0.357911829811638
2011-11-22,2.32245859614261,0.365947980307412
2011-11-23,2.33032356750438,0.367416227388814
2011-11-24,2.43887900029223,0.387190254266605
2011-11-25,2.49616100292227,0.397272594001432
2011-11-26,2.47179996902396,0.393013322458812
2011-11-27,2.47756495119813,0.394025048657693
2011-11-28,2.5412402521917,0.40504572576219
2011-11-29,2.75769848275862,0.440546780174664
2011-11-30,2.9660415458796,0.47217722997621
2011-12-01,3.08258945002922,0.488915687730204
2011-12-02,3.10040233313852,0.491418055035628
2011-12-03,2.80385618527177,0.447755734136045
2011-12-04,2.81969397603741,0.45020197650016
2011-12-05,2.87479622735242,0.458607066252506
2011-12-06,3.02536045149036,0.480777125357881
2011-12-07,2.98550242109877,0.475017427709864
2011-12-08,2.99188048305085,0.475944240733789
2011-12-09,2.95579195207481,0.470673862318979
2011-12-10,3.06897526709527,0.486993388462019
2011-12-11,3.2492688471654,0.511785646712762
2011-12-12,3.18733535651666,0.503427760311644
2011-12-13,3.24108840853302,0.510690877627204
2011-12-14,3.1550865043834,0.499011270984702
2011-12-15,3.20313854061952,0.505575722967722
2011-12-16,3.2091377773232,0.50638836298105
2011-12-17,3.19254170426651,0.504136579174143
2011-12-18,3.19401080888369,0.504336381505219
2011-12-19,3.52577391934541,0.547254460904702
2011-12-20,3.95255082729398,0.596877463391439
2011-12-21,3.88899325073057,0.589837189438791
2011-12-22,3.90306042051432,0.591405274338604
2011-12-23,3.93796507597896,0.595271860258961
2011-12-24,3.93941911864407,0.595432188280923
2011-12-25,4.23386687784921,0.626737198717781
2011-12-26,3.99912196405611,0.60196464932203
2011-12-27,4.0955185458796,0.612308896903958
2011-12-28,4.20729587609585,0.624003054645328
2011-12-29,4.17335222676797,0.620485040279948
2011-12-30,4.31063509000584,0.634541259897605
2011-12-31,4.71430633138515,0.673417799170012
2012-01-01,5.2948427773232,0.723853068890207
2012-01-02,5.2048778918761,0.71641054527663
2012-01-03,4.87050882875511,0.687574334926555
2012-01-04,5.58570626709527,0.747078093926075
2012-01-05,6.87400087726476,0.837209583226173
2012-01-06,6.68331663997662,0.824992037472186
2012-01-07,6.79622798071303,0.832267938929345
2012-01-08,7.09665056633548,0.851053421426092
2012-01-09,6.28853834248977,0.798549713242067
2012-01-10,6.52847455523086,0.814811715786759
2012-01-11,6.88912772121566,0.838164236443975
2012-01-12,6.77356419579194,0.830817251143679
2012-01-13,6.45436889012273,0.809853783250478
2012-01-14,6.76172714260666,0.830057641607038
2012-01-15,7.04692255815312,0.847999498863301
2012-01-16,6.71560766656926,0.827085316229996
2012-01-17,5.59962195032145,0.74815870728629
2012-01-18,5.9002312881356,0.770869036250998
2012-01-19,6.31570634161309,0.800421928622212
2012-01-20,6.50149198831093,0.813013031709983
2012-01-21,6.18056832554062,0.791028411868402
2012-01-22,6.30296722676797,0.799545048951598
2012-01-23,6.37487607714787,0.804471746826156
2012-01-24,6.27447647574518,0.797577495383349
2012-01-25,5.81046507247224,0.764210894924744
2012-01-26,5.36722695441262,0.729749959916268
2012-01-27,5.30313719696084,0.724532862855367
2012-01-28,5.65979677498539,0.752800837356652
2012-01-29,5.39142945733489,0.731703927176854
2012-01-30,5.50348193863238,0.740637545543134
